product_name,discount,supplier_id,speed,fuel,other
Mazda6,0.77,15,179,9,Inspired from Formula-1 cars
CR-V,4.71,1,151,7,
CL-Class,4.99,9,114,9,
Vantage,2.66,9,183,9,
100,1.32,14,168,5,
Crown Victoria,1.71,13,109,5,
Tahoe,1,9,162,7,
Caprice,4.43,11,191,10,
Tiburon,3.15,5,171,6,
Continental Flying Spur,3.35,12,177,10,
G37,3.88,1,151,6,
Savana 2500,1.31,9,138,6,
Aero 8,3.48,9,184,10,SuperFast Speed coverage
Defender 90,2.52,10,127,10,
Grand Am,1.42,5,146,5,
Avalanche,1.91,11,130,6,
Galant,1.96,4,174,8,
Skylark,3.18,5,146,5,
Century,4.61,6,158,6,
M6,2.12,2,160,10,
MKS,0.84,3,119,6,
Pajero,2.22,1,170,6,
Avenger,2.15,1,157,6,
Riviera,4.96,9,167,10,Book today. Cars for you
Avalon,4.03,14,111,5,
Escape,1.75,10,165,5,
Mentor,2.95,14,108,10,
Hombre Space,3.91,1,123,6,
Aztek,3.72,4,128,9,
Space,4.38,5,116,9,
